Nest_ID,Día,Pro_On,Pro_Off,N_On,Month_Nest,Temp_On,Temp_Off,Pro_Nocturnal,Attenct_On
M_Polyglottos_GL_81_05_Control,2005-06-07,17.606060606060606,8.058823529411764,33,June,34.49053533197639,31.06222222222222,143.33333333333334,0.5025951557093425
M_Polyglottos_GL_81_05_Control,2005-06-08,19.24137931034483,9.433333333333334,29,June,34.27466263324562,30.336333333333336,585.0,0.6706730769230769
M_Polyglottos_GL_81_05_Control,2005-06-09,22.22222222222222,8.464285714285714,27,June,34.14876227347178,29.87607142857143,598.0,0.7263922518159807
M_Polyglottos_GL_81_05_Control,2005-06-10,21.586206896551722,7.266666666666667,29,June,34.584524998908385,29.687666666666665,604.0,0.751500600240096
M_Polyglottos_GL_81_05_Control,2005-06-11,22.703703703703702,8.071428571428571,27,June,34.45843482084764,30.060357142857146,614.0,0.7367788461538461
M_Polyglottos_GL_81_05_Control,2005-06-12,21.037037037037038,9.714285714285714,27,June,34.03357551565867,29.761785714285715,589.0,0.6835138387484958
M_Polyglottos_GL_81_05_Control,2005-06-13,16.242424242424242,9.588235294117647,33,June,33.654270768312095,30.434857142857144,287.0,0.4714160070360598
M_Polyglottos_GL_81_05_Control,2005-06-14,,,0,June,,,577.0,0.0
M_polyglottlos_SD293_05_YA_YB,2005-06-25,18.766666666666666,8.774193548387096,30,June,33.60067502612594,30.791290322580643,576.0,0.6976456009913259
M_polyglottlos_SD293_05_YA_YB,2005-06-26,28.0,10.608695652173912,22,June,34.934689357754145,33.30217391304348,592.0,0.7238542890716804
M_polyglottlos_SD293_05_YA_YB,2005-06-27,24.47826086956522,12.041666666666666,23,June,34.91623221910092,33.48,580.0,0.6702380952380952
M_polyglottlos_SD293_05_YA_YB,2005-06-28,17.02857142857143,7.638888888888889,35,June,34.42550528914906,33.103611111111114,585.0,0.7044917257683215
M_polyglottlos_SD293_05_YA_YB,2005-06-29,25.82608695652174,9.666666666666666,23,June,34.12792415053947,32.50291666666667,591.0,0.7333333333333333
M_polyglottlos_SD293_05_YA_YB,2005-06-30,23.11111111111111,8.357142857142858,27,June,33.88770379242996,32.36642857142857,600.0,0.7341176470588235
M_polyglottlos_SD293_05_YA_YB,2005-07-01,20.24137931034483,9.566666666666666,29,July,33.404250339300965,31.816,582.0,0.6817653890824622
