Nest_ID,Día,Month_Nest,Pro_On,Pro_Off,Pro_Nocturnal,N_On,Temp_On,Temp_Off,Ambient_On,Ambient_Off,Ambient_Daily,Rainfall_sum,RH_avg,Soil_avg,Temp60_avg,Temp2m_avg,Temp10m_avg,Dew_avg,First_Off_Time,Last_Off_End,Nocturnal_Start,First_Off_Time_Hour,Last_Off_End_Hour,Nocturnal_Start_Hour,Attenct_On
M_Polyglottos_GL47_06_AY_BR,2006-04-27,April,14.85,4.536585365853658,329.9916666666667,40.0,32.41433325779129,29.170731707317074,23.515517817254654,23.473183797909407,23.423901838955228,0.0393700787401572,57.552526573389045,23.742776250971254,23.286457487545455,22.50299685630202,22.88766437347612,13.354325565498034,2006-04-27 07:26:00,2006-04-27 20:26:00,2006-04-27 20:26:00,7.433333333333334,20.433333333333334,20.433333333333334,0.41250477436081434
M_Polyglottos_GL47_06_AY_BR,2006-04-28,April,19.571428571428573,6.9655172413793105,344.9916666666667,28.0,33.46094569363488,29.48448275862069,24.51466169018479,24.30637439667612,24.231103641013366,0.0,34.41001515630139,22.72142736203947,22.853586955610186,22.081689529246145,22.378230076662117,4.800206564593444,2006-04-28 08:00:00,2006-04-28 20:30:00,2006-04-28 20:30:00,8.0,20.5,20.5,0.3805599601847244
M_Polyglottos_GL47_06_AY_BR,2006-04-29,April,13.64102564102564,6.625,321.4916666666667,39.0,32.81814448048595,28.867,23.479093396454747,23.351173316960818,23.3055572885516,0.0,51.393304075577966,21.598922384917245,21.96183189095336,21.214017199185182,21.475905896668195,10.701845562801665,2006-04-29 07:09:00,2006-04-29 20:26:00,2006-04-29 20:26:00,7.15,20.433333333333334,20.433333333333334,0.36944872047130173
M_Polyglottos_GL47_06_AY_BR,2006-04-30,April,17.363636363636363,7.088235294117647,312.9916666666667,33.0,33.24475656053326,29.14058823529412,23.13120466569729,22.975294642449054,22.908664522516418,0.0,58.157786685284144,21.93943208628246,20.684377196783693,19.81615500666059,19.970209045532624,11.031425602259798,2006-04-30 06:54:00,2006-04-30 20:28:00,2006-04-30 20:28:00,6.9,20.466666666666665,20.466666666666665,0.3979212722369472
M_Polyglottos_GL47_06_AY_BR,2006-05-01,May,19.3,7.419354838709677,315.4916666666667,30.0,33.041175596993035,28.495483870967746,22.659107793374883,22.552146968340093,22.45478047771469,0.0,48.11113522825151,21.934424295558042,21.264674080226435,20.25204165128586,20.8472899901563,8.572447428325358,2006-05-01 07:02:00,2006-05-01 20:31:00,2006-05-01 20:31:00,7.033333333333333,20.516666666666666,20.516666666666666,0.4020879871294807
M_Polyglottos_GL47_06_AY_BR,2006-05-02,May,16.941176470588236,7.171428571428572,306.4916666666667,34.0,33.2657117813438,29.316285714285712,23.195588870697478,23.126315905523047,23.04946395999392,0.0,43.81431780426147,22.013954173760542,22.216152104937343,21.123105556415435,21.581868789661073,7.969698924315143,2006-05-02 06:40:00,2006-05-02 20:27:00,2006-05-02 20:27:00,6.666666666666667,20.45,20.45,0.40000462968321393
M_Polyglottos_GL47_06_AY_BR,2006-05-03,May,19.285714285714285,9.793103448275861,307.9916666666667,28.0,33.75127962588008,29.202068965517242,24.82662295442653,24.660662130465884,24.60578492624897,0.0,49.29985734463278,22.459903349475407,25.145603510895906,24.094203188054898,24.392867635189695,11.634985472154986,2006-05-03 06:50:00,2006-05-03 20:34:00,2006-05-03 20:34:00,6.833333333333333,20.566666666666666,20.566666666666666,0.37500434032801305
M_Polyglottos_GL47_06_AY_BR,2006-05-04,May,27.047619047619047,11.909090909090908,304.9916666666667,21.0,33.64292518554144,29.013181818181817,25.775441540630204,25.543692132013327,25.480657198903376,0.0,54.40417171032821,23.114401641071986,25.912149759108726,24.955949819331543,25.19271653116533,14.144997892201165,2006-05-04 06:43:00,2006-05-04 20:33:00,2006-05-04 20:33:00,6.716666666666667,20.55,20.55,0.3944490098265026
M_Polyglottos_GL47_06_AY_BR,2006-05-05,May,,,405.0,0.0,,,,,21.91481239804241,0.0,89.66536585365854,23.67926829268295,19.11487804878051,19.013658536585385,19.72024390243904,17.082682926829293,,,,,,,0.0
M_Polyglottos_GL53_06_AR_RPK,2006-04-29,April,,,139.98333333333332,0.0,,,,,17.335451197053406,0.0,78.49444444444445,21.284444444444464,14.728888888888905,14.53555555555558,15.207222222222246,10.779444444444467,,,2006-04-29 21:40:00,,,21.666666666666668,0.0
