Nest_ID,Día,Month_Nest,Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
Mimus_polyglottos_ALS107_06,2006-07-11,July,On,2006-07-11 11:11:00,2006-07-11 11:21:00,10.0,35.92363636363636,32.15363636363636
Mimus_polyglottos_ALS107_06,2006-07-11,July,Off,2006-07-11 11:21:00,2006-07-11 11:27:00,6.0,34.23,31.595714285714283
Mimus_polyglottos_ALS107_06,2006-07-11,July,On,2006-07-11 11:27:00,2006-07-11 11:36:00,9.0,36.099,31.666
Mimus_polyglottos_ALS107_06,2006-07-11,July,Off,2006-07-11 11:36:00,2006-07-11 11:42:00,6.0,33.64,31.13142857142857
Mimus_polyglottos_ALS107_06,2006-07-11,July,On,2006-07-11 11:42:00,2006-07-11 12:26:00,44.0,36.34844444444445,32.55955555555556
Mimus_polyglottos_ALS107_06,2006-07-11,July,Off,2006-07-11 12:26:00,2006-07-11 12:32:00,6.0,33.44,31.26571428571429
Mimus_polyglottos_ALS107_06,2006-07-11,July,On,2006-07-11 12:32:00,2006-07-11 12:39:00,7.0,34.88875,30.56
Mimus_polyglottos_ALS107_06,2006-07-11,July,Off,2006-07-11 12:39:00,2006-07-11 12:44:00,5.0,31.7,30.40166666666667
Mimus_polyglottos_ALS107_06,2006-07-11,July,On,2006-07-11 12:44:00,2006-07-11 13:06:00,22.0,35.80695652173913,32.805652173913046
Mimus_polyglottos_ALS107_06,2006-07-11,July,Off,2006-07-11 13:06:00,2006-07-11 13:11:00,5.0,36.26,33.67333333333334
Mimus_polyglottos_ALS107_06,2006-07-11,July,On,2006-07-11 13:11:00,2006-07-11 13:19:00,8.0,36.784444444444446,33.53
Mimus_polyglottos_ALS107_06,2006-07-11,July,Off,2006-07-11 13:19:00,2006-07-11 13:25:00,6.0,35.44,33.30285714285714
Mimus_polyglottos_ALS107_06,2006-07-11,July,On,2006-07-11 13:25:00,2006-07-11 13:57:00,32.0,36.78303030303031,33.947272727272725
Mimus_polyglottos_ALS107_06,2006-07-11,July,Off,2006-07-11 13:57:00,2006-07-11 14:03:00,6.0,35.64,32.498571428571424
Mimus_polyglottos_ALS107_06,2006-07-11,July,On,2006-07-11 14:03:00,2006-07-11 14:29:00,26.0,37.118148148148144,33.88444444444445
Mimus_polyglottos_ALS107_06,2006-07-11,July,Off,2006-07-11 14:29:00,2006-07-11 14:37:00,8.0,36.67,34.056666666666665
Mimus_polyglottos_ALS107_06,2006-07-11,July,On,2006-07-11 14:37:00,2006-07-11 14:43:00,6.0,37.41142857142857,34.09428571428571
Mimus_polyglottos_ALS107_06,2006-07-11,July,Off,2006-07-11 14:43:00,2006-07-11 14:46:00,3.0,35.44,33.5925
Mimus_polyglottos_ALS107_06,2006-07-11,July,On,2006-07-11 14:46:00,2006-07-11 14:52:00,6.0,35.760000000000005,33.528571428571425
