"Plot Title: GL32_07"
"#","Date Time, GMT-05:00","H08 Temp., °C (LGR S/N: 574445)","H08 Temp., °C (LGR S/N: 574445)","H08 Temp., °C (LGR S/N: 574445)"
136,06/24/07 12:15:00 AM,30.37,-69.16,25.80
137,06/24/07 12:16:00 AM,30.37,-69.16,25.80
138,06/24/07 12:17:00 AM,30.18,-69.16,25.80
139,06/24/07 12:18:00 AM,30.18,-69.16,25.80
140,06/24/07 12:19:00 AM,30.18,-69.16,25.80
141,06/24/07 12:20:00 AM,30.37,-69.16,25.80
142,06/24/07 12:21:00 AM,30.37,-69.16,25.80
143,06/24/07 12:22:00 AM,30.37,-69.16,25.80
144,06/24/07 12:23:00 AM,30.37,-69.16,25.80
145,06/24/07 12:24:00 AM,30.37,-69.16,25.80
146,06/24/07 12:25:00 AM,30.37,-69.16,25.62
147,06/24/07 12:26:00 AM,30.37,-69.16,25.62
148,06/24/07 12:27:00 AM,30.37,-69.16,25.62
149,06/24/07 12:28:00 AM,30.37,-69.16,25.62
150,06/24/07 12:29:00 AM,30.37,-69.16,25.62
151,06/24/07 12:30:00 AM,30.37,-69.16,25.62
152,06/24/07 12:31:00 AM,30.37,-69.16,25.62
153,06/24/07 12:32:00 AM,30.37,-69.16,25.62
154,06/24/07 12:33:00 AM,30.37,-69.16,25.62
155,06/24/07 12:34:00 AM,30.37,-69.16,25.62
156,06/24/07 12:35:00 AM,30.37,-69.16,25.62
157,06/24/07 12:36:00 AM,30.37,-69.16,25.62
158,06/24/07 12:37:00 AM,30.37,-69.16,25.62
159,06/24/07 12:38:00 AM,30.18,-69.16,25.62
160,06/24/07 12:39:00 AM,30.18,-69.16,25.62
161,06/24/07 12:40:00 AM,30.18,-69.16,25.62
162,06/24/07 12:41:00 AM,30.18,-69.16,25.62
163,06/24/07 12:42:00 AM,30.18,-69.16,25.62
164,06/24/07 12:43:00 AM,30.18,-69.16,25.62
165,06/24/07 12:44:00 AM,30.18,-69.16,25.62
166,06/24/07 12:45:00 AM,30.18,-69.16,25.62
167,06/24/07 12:46:00 AM,30.18,-69.16,25.62
168,06/24/07 12:47:00 AM,30.18,-69.16,25.62
169,06/24/07 12:48:00 AM,30.18,-69.16,25.62
170,06/24/07 12:49:00 AM,30.00,-69.16,25.62
171,06/24/07 12:50:00 AM,30.00,-69.16,25.62
172,06/24/07 12:51:00 AM,30.00,-69.16,25.62
173,06/24/07 12:52:00 AM,30.00,-69.16,25.62
174,06/24/07 12:53:00 AM,30.00,-69.16,25.62
175,06/24/07 12:54:00 AM,30.00,-69.16,25.62
176,06/24/07 12:55:00 AM,30.00,-69.16,25.62
177,06/24/07 12:56:00 AM,30.00,-69.16,25.62
178,06/24/07 12:57:00 AM,30.18,-69.16,25.62
179,06/24/07 12:58:00 AM,30.18,-69.16,25.62
180,06/24/07 12:59:00 AM,30.37,-69.16,25.62
181,06/24/07 01:00:00 AM,30.37,-69.16,25.62
182,06/24/07 01:01:00 AM,30.37,-69.16,25.62
183,06/24/07 01:02:00 AM,30.56,-69.16,25.62
184,06/24/07 01:03:00 AM,30.56,-69.16,25.44
185,06/24/07 01:04:00 AM,30.56,-69.16,25.44
186,06/24/07 01:05:00 AM,30.56,-69.16,25.44
187,06/24/07 01:06:00 AM,30.56,-69.16,25.44
188,06/24/07 01:07:00 AM,30.56,-69.16,25.44
189,06/24/07 01:08:00 AM,30.56,-69.16,25.44
190,06/24/07 01:09:00 AM,30.56,-69.16,25.44
191,06/24/07 01:10:00 AM,30.56,-69.16,25.44
192,06/24/07 01:11:00 AM,30.56,-69.16,25.44
193,06/24/07 01:12:00 AM,30.56,-69.16,25.44
194,06/24/07 01:13:00 AM,30.56,-69.16,25.44
195,06/24/07 01:14:00 AM,30.56,-69.16,25.44
196,06/24/07 01:15:00 AM,30.56,-69.16,25.44
197,06/24/07 01:16:00 AM,30.56,-69.16,25.44
198,06/24/07 01:17:00 AM,30.56,-69.16,25.44
199,06/24/07 01:18:00 AM,30.56,-69.16,25.44
200,06/24/07 01:19:00 AM,30.56,-69.16,25.44
201,06/24/07 01:20:00 AM,30.56,-69.16,25.44
202,06/24/07 01:21:00 AM,30.75,-69.16,25.44
203,06/24/07 01:22:00 AM,30.56,-69.16,25.44
204,06/24/07 01:23:00 AM,30.56,-69.16,25.44
