Temp @ 60cm (C)_avg,Day_of_Year,log_pred,pred_minutes
12.19251256281408,113.0,2.0577883824224177,7.8286366997438295
12.387336683417095,113.0,2.058558037341413,7.834664367803452
12.58216080402011,113.0,2.0593276922604087,7.840696676873206
12.776984924623125,113.0,2.0600973471794046,7.846733630526446
12.97180904522614,113.0,2.0608670020984,7.852775232339266
13.166633165829154,113.0,2.061636657017396,7.858821485890532
13.36145728643217,113.0,2.0624063119363916,7.864872394761846
13.556281407035184,113.0,2.063175966855387,7.870927962537582
13.7511055276382,113.0,2.063945621774383,7.876988192804872
13.945929648241215,113.0,2.0647152766933785,7.8830530891535995
14.14075376884423,113.0,2.0654849316123745,7.889122655176427
14.335577889447245,113.0,2.06625458653137,7.895196894468769
14.53040201005026,113.0,2.0670242414503655,7.9012758106288175
14.725226130653276,113.0,2.0677938963693614,7.907359407257536
14.920050251256288,113.0,2.068563551288357,7.91344768795865
15.114874371859305,113.0,2.069333206207353,7.919540656338673
15.30969849246232,113.0,2.0701028611263483,7.925638316006882
15.504522613065333,113.0,2.070872516045344,7.931740670575345
15.69934673366835,113.0,2.07164217096434,7.937847723658908
15.894170854271366,113.0,2.0724118258833353,7.943959478875191
16.08899497487438,113.0,2.073181480802331,7.950075939844611
16.283819095477394,113.0,2.0739511357213267,7.956197110190371
16.47864321608041,113.0,2.074720790640322,7.9623229935384545
16.673467336683427,113.0,2.075490445559318,7.9684535935176495
16.86829145728644,113.0,2.0762601004783137,7.974588913759526
17.063115577889455,113.0,2.077029755397309,7.9807289578984575
17.25793969849247,113.0,2.077799410316305,7.986873729571618
17.452763819095484,113.0,2.0785690652353006,7.993023232418973
17.6475879396985,113.0,2.079338720154296,7.999177470083296
17.842412060301516,113.0,2.080108375073292,8.00533644621017
18.03723618090453,113.0,2.0808780299922875,8.011500164447975
18.232060301507545,113.0,2.0816476849112835,8.01766862844791
18.42688442211056,113.0,2.082417339830279,8.023841841863971
18.621708542713577,113.0,2.0831869947492745,8.030019808352984
18.81653266331659,113.0,2.0839566496682704,8.036202531574583
19.011356783919606,113.0,2.084726304587266,8.042390015191215
19.206180904522622,113.0,2.085495959506262,8.048582262868159
19.401005025125635,113.0,2.0862656144252574,8.0547792782735
19.59582914572865,113.0,2.087035269344253,8.060981065078161
19.790653266331667,113.0,2.087804924263249,8.06718762695589
19.98547738693468,113.0,2.0885745791822443,8.073398967583254
